[pliability] = [pliancy, pliantness, flexibility, flexibleness, suppleness, 1]
[role_model] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[role_player] = [beguiler, slicker, name_dropper, ringer, deceiver, -1]
[romanticist] = [mortal, person, individual, someone, somebody, 1]
[rookie] = [novice, beginner, tyro, tiro, initiate, -1]
[rooter] = [enthusiast, partizan, partisan, aficionado, railbird, 1]
[rotgut] = [intoxicant, alcohol, alcoholic_drink, alcoholic_beverage, inebriant, -1]
[roughneck] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[roughness] = [nubbiness, tweediness, harshness, graininess, granularity, -1]
[rounded] = [aspheric, aspherical, prolate, auriform, crescent, 1]
[roundworm] = [fungal_infection, mycosis, kerion, tinea_pedis, athlete's_foot, -1]
[routine] = [rut, groove, rat_race, procedure, process, 1]
[rove] = [gad, move, gallivant, jazz_around, go, -1]
[rowdy] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[rub_along] = [manage, make_out, cope, get_by, make_do, -1]
[rubbish_heap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[rubor] = [blepharitis, diverticulitis, epiglottitis, orchitis, prostatitis, -1]
[ruck_up] = [wrinkle, crinkle, crease, crisp, ruckle, -1]
[ruffian] = [bullyboy, muscleman, muscle, skinhead, skin, -1]
[ruffle] = [adornment, goffer, gauffer, jabot, peplum, 1]
[rumination] = [consideration, introspection, cogitation, study, speculation, 1]
[rummage] = [muddle, fuddle, mare's_nest, welter, clutter, -1]
[rummy] = [lush, alcoholic, alky, dipsomaniac, boozer, 1]
[run_a_risk] = [try, assay, essay, go_for_broke, luck_it, 1]
[run_afoul] = [offend, violate, go_against, break, transgress, -1]
[run_up] = [pile_up, roll_up, collect, accumulate, amass, -1]
[runner] = [criminal, outlaw, malefactor, felon, crook, -1]
[running_hand] = [copperplate, hand, minuscule, italic, round_hand, -1]
[ruralism] = [idiom, idiomatic_expression, phrasal_idiom, set_phrase, phrase, 1]
[rust_fungus] = [flax_rust, flax_rust_fungus, blister_rust, apple_rust, fungus, -1]
[rustic] = [redneck, yokel, rube, hick, hayseed, -1]
[rustling] = [thieving, larceny, theft, thievery, stealing, 1]
[rye_bread] = [black_bread, pumpernickel, limpa, bread, breadstuff, 1]
[saboteur] = [waster, sleeper, destroyer, ruiner, undoer, -1]
[sacking] = [material, burlap, gunny, fabric, cloth, 1]
[sagaciousness] = [indiscreetness, judiciousness, injudiciousness, common_sense, good_sense, 1]
[sagacity] = [indiscreetness, judiciousness, injudiciousness, common_sense, good_sense, 1]
[salable] = [merchantable, sellable, vendable, vendible, marketable, 1]
[salad_green] = [lettuce, endive, green, curly_endive, chicory_escarole, 1]
[salad_greens] = [lettuce, endive, green, curly_endive, chicory_escarole, 1]
[saleable] = [merchantable, sellable, vendable, vendible, marketable, 1]
[salinity] = [taste, taste_sensation, gustatory_sensation, taste_perception, gustatory_perception, -1]
[sally_forth] = [depart, start, part, start_out, set_forth, -1]
[sally_out] = [depart, start, part, start_out, set_forth, -1]
[salmonid] = [salmon, trout, char, charr, malacopterygian, -1]
[sampling] = [choice, option, random_sampling, stratified_sampling, representative_sampling, 1]
[sanction] = [okay, approval, commendation, okey, okeh, 1]
[sandbagger] = [slicker, beguiler, deceiver, cheat, cheater, 1]
[sandboy] = [peddler, pedlar, packman, hawker, pitchman, -1]
[saneness] = [reasonableness, rationality, lucidity, reason, mental_health, 1]
[sanies] = [gleet, humor, liquid_body_substance, bodily_fluid, body_fluid, -1]
[sanitariness] = [sanitation, hygiene, sterility, sanitary_condition, asepsis, 1]
[sanitary_condition] = [cleanness, unsanitariness, dirtiness, uncleanness, sanitariness, -1]
[saphead] = [morosoph, simpleton, flibbertigibbet, foolish_woman, simple, 1]
[sapidity] = [vanilla, taste, lemon, taste_sensation, gustatory_sensation, -1]
[sapience] = [profoundness, profundity, sagacity, sagaciousness, discernment, 1]
[sarcastic] = [grim, saturnine, sardonic, mordant, black, -1]
[satiate] = [pall, take_in, take, ingest, have, -1]
[satirize] = [blackguard, roast, ridicule, guy, laugh_at, -1]
[satisfactoriness] = [adequacy, adequateness, acceptability, acceptableness, quality, -1]
[sausage] = [knackwurst, knockwurst, salami, frank, hotdog, 1]
[savagery] = [fury, wildness, ferocity, fierceness, furiousness, -1]
[saver] = [succorer, succourer, salvager, salvor, mortal, -1]
[saving] = [economy_of_scale, retrenchment, curtailment, downsizing, action, 1]
[savoury] = [herb, summer_savory, summer_savoury, winter_savory, winter_savoury, 1]
[sawdust_saloon] = [bar, barroom, saloon, ginmill, taproom, -1]
[saxifrage] = [herb, yellow_mountain_saxifrage, meadow_saxifrage, mossy_saxifrage, western_saxifrage, -1]
[scabiosa] = [sweet_scabious, pincushion_flower, mournful_widow, field_scabious, flower, -1]
[scabious] = [sweet_scabious, pincushion_flower, mournful_widow, field_scabious, flower, -1]
[scale] = [measure, standard, wage_scale, wage_schedule, wind_scale, -1]
[scale_of_measurement] = [measure, standard, wage_scale, wage_schedule, wind_scale, -1]
[scamp] = [child, small_fry, tyke, tike, kid, 1]
[scandalize] = [churn_up, sicken, disgust, nauseate, revolt, -1]
[scantiness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[scantness] = [insufficiency, sparseness, sparsity, abstemiousness, spareness, -1]
[scarceness] = [paucity, insufficiency, rareness, infrequency, dearth, -1]
[scarcity] = [paucity, insufficiency, rareness, infrequency, dearth, -1]
[scatology] = [filth, smut, vulgarism, dirty_word, obscenity, -1]
[scavenger_cell] = [somatic_cell, vegetative_cell, fixed_phagocyte, macrophage, free_phagocyte, 1]
[scene] = [dark, darkness, light, shadow, field_of_honor, -1]
[schistorrhachis] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[schizophrenic_disorder] = [catatonia, paranoid_schizophrenia, paranoic_type_schizophrenia, paraphrenic_schizophrenia, paraphrenia, 1]
[schizophrenic_psychosis] = [catatonia, paranoid_schizophrenia, paranoic_type_schizophrenia, paraphrenic_schizophrenia, paraphrenia, 1]
[schmoose] = [gossip, chitchat, chit_chat, gab, small_talk, -1]
[schmooze] = [gossip, chitchat, chit_chat, gab, small_talk, -1]
[schmoozer] = [utterer, deipnosophist, interlocutor, conversational_partner, speaker, 1]
[schnapps] = [liquor, spirits, booze, hard_drink, hard_liquor, 1]
[schnaps] = [liquor, spirits, booze, hard_drink, hard_liquor, 1]
[scholarly] = [erudite, donnish, pedantic, learned, bookish, 1]
[scholarship] = [prize, assistance, award, economic_aid, financial_aid, 1]
[science] = [discipline, study, subject, natural_history, natural_science, 1]
[scientific_instrument] = [console, instrument, accelerator, particle_accelerator, atom_smasher, 1]
[scissure] = [chap, break, slit, gap, shift, 1]
[sclerosis] = [osteosclerosis, multiple_sclerosis, disseminated_sclerosis, disseminated_multiple_sclerosis, pathology, -1]
[scofflaw] = [criminal, outlaw, malefactor, felon, crook, -1]
[scolding] = [reprimand, wigging, rebuke, reproof, reproval, -1]
[scotoma] = [visual_impairment, visual_defect, vision_defect, visual_disorder, annular_scotoma, -1]
[scoundrel] = [blackguard, cad, bounder, rogue, hound, -1]
[scrape_along] = [manage, make_out, cope, get_by, make_do, -1]
[scrape_by] = [manage, make_out, cope, get_by, make_do, -1]
[scrapheap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[scratch_along] = [manage, make_out, cope, get_by, make_do, -1]
[scrawl] = [squiggle, hand, chicken_scratch, handwriting, script, -1]
[screaming] = [cry, yell, call, outcry, shout, 1]
[scribble] = [squiggle, hand, chicken_scratch, handwriting, script, -1]
[scrimpy] = [miserable, scanty, exiguous, spare, hardscrabble, -1]
[scruples] = [morality, wee_small_voice, small_voice, voice_of_conscience, sense_of_shame, 1]
[scrutiny] = [scan, checkup, medical_checkup, medical_examination, medical_exam, 1]
[scurrility] = [abuse, vilification, insult, revilement, contumely, -1]
[scuttlebutt] = [earful, malicious_gossip, talk_of_the_town, talk, scandal, -1]
[sea_lawyer] = [mariner, seaman, tar, old_salt, seafarer, 1]
[sea_power] = [strength, military_capability, military_strength, military_posture, posture, -1]
[seamanship] = [boatmanship, acquirement, skill, accomplishment, acquisition, 1]
[seasoned_salt] = [flavorer, flavourer, flavoring, flavouring, seasoner, -1]
[secern] = [separate, severalize, contrast, decouple, dissociate, -1]
[secernate] = [separate, severalize, contrast, decouple, dissociate, -1]
[second_childhood] = [age, old_age, years, eld, geezerhood, -1]
[second_sight] = [psychic_phenomena, psychic_phenomenon, parapsychology, precognition, foreknowledge, -1]
[secondary_syphilis] = [pox, syphilis, syph, lues_venerea, lues, -1]
[secretiveness] = [furtiveness, sneakiness, stealthiness, unsociability, unsociableness, 1]
[seductive] = [alluring, enticing, tempting, beguiling, corrupting, 1]
[sedum] = [livelong, herb, stonecrop, orpine, orpin, -1]
[seeable] = [viewable, gross, telescopic, panoptic, visual, 1]
[seeing] = [contrast, perception, face_recognition, object_recognition, visual_space, -1]
[seigneur] = [liege, liege_lord, master, overlord, lord, -1]
[seigneury] = [demesne, estate, land, landed_estate, acres, -1]
[seignior] = [liege, liege_lord, master, overlord, lord, -1]
[seigniory] = [demesne, estate, land, landed_estate, acres, -1]
[selfishness] = [opportunism, greediness, rapaciousness, voraciousness, expedience, -1]
[semblance] = [pretence, pretense, pretext, simulacrum, face_value, -1]
[semiautomatic] = [pistol, handgun, side_arm, shooting_iron, semiautomatic_firearm, 1]
[semiautomatic_pistol] = [pistol, handgun, side_arm, shooting_iron, semiautomatic_firearm, 1]
[semidarkness] = [overcast, dark, obscureness, darkness, dimness, -1]
[send_around] = [circularize, circulate, pass_around, pass_on, distribute, 1]
[sending] = [causing, causation, transmission, transmittal, transmitting, -1]
[senility] = [age, old_age, years, eld, geezerhood, -1]
[senior_citizen] = [centenarian, nonagenarian, octogenarian, septuagenarian, sexagenarian, 1]
[sense_datum] = [masking, taste, threshold, perception, limen, -1]
[sense_experience] = [masking, taste, threshold, perception, limen, -1]
[sense_impression] = [masking, taste, threshold, perception, limen, -1]
[sense_of_right_and_wrong] = [morality, wee_small_voice, small_voice, voice_of_conscience, sense_of_shame, 1]
[sensible] = [levelheaded, sound, healthy, commonsense, commonsensible, 1]
[sensualist] = [erotic, voluptuary, epicure, gourmet, gastronome, 1]
[sentimentalism] = [treacle, glop, mush, slop, formulation, 1]
[sentimentalist] = [mortal, person, individual, someone, somebody, 1]
[sentimentality] = [sentimentalism, emotionality, emotionalism, corn, schmaltz, -1]
[septic] = [dirty, putrefactive, putrefacient, abscessed, contaminative, -1]
[septicaemia] = [pyemia, pyaemia, toxemia, toxaemia, fowl_cholera, 1]
[septicemia] = [pyemia, pyaemia, toxemia, toxaemia, fowl_cholera, 1]
[sepulcher] = [grave, tomb, chamber, monument, vault, -1]
[sepulchre] = [grave, tomb, chamber, monument, vault, -1]
[serious_music] = [genre, fugue, chamber_music, opera, cantata, 1]
[serpent] = [viper, elapid, elapid_snake, worm_snake, blind_snake, -1]
[servant] = [menial, lackey, flunky, flunkey, familiar, -1]
[serviceable] = [operable, functional, useable, usable, operational, 1]
[servile] = [slavelike, submissive, obsequious, subservient, slavish, 1]
[set_on] = [blindside, profane, assault, savage, violate, -1]
[setback] = [whammy, happening, occurrence, occurrent, natural_event, -1]
[severalize] = [separate, secern, secernate, differentiate, severalize, -1]
[severeness] = [distressfulness, intensiveness, intensity, foulness, seriousness, -1]
[severity] = [distressfulness, intensiveness, intensity, foulness, seriousness, -1]
[sex_character] = [characteristic, feature, primary_sex_characteristic, primary_sexual_characteristic, primary_sex_character, 1]
[sex_characteristic] = [characteristic, feature, primary_sex_characteristic, primary_sexual_characteristic, primary_sex_character, 1]
[sexiness] = [sexual_desire, concupiscence, physical_attraction, prurience, pruriency, 1]
[sexism] = [chauvinism, male_chauvinism, antifeminism, sexual_discrimination, discrimination, -1]
[sexual_characteristic] = [characteristic, feature, primary_sex_characteristic, primary_sexual_characteristic, primary_sex_character, 1]
[sexual_desire] = [love, aphrodisia, lecherousness, lustfulness, amorousness, 1]
[sexual_perversion] = [sex, head, paraphilia, sodomy, buggery, 1]
[sexual_relationship] = [intimacy, affaire, liaison, affair, involvement, 1]
[shading] = [hatch, hatching, crosshatch, hachure, marking, -1]
[shaggy_dog_story] = [gag, jest, jape, joke, laugh, -1]
[shapely] = [voluptuous, statuesque, sculptured, buxom, sculptural, 1]
[shareware] = [software, software_program, computer_software, software_system, software_package, 1]
[shark] = [elasmobranch, selachian, hammerhead, cow_shark, mackerel_shark, -1]
[sharpie] = [goffer, gopher, actor, doer, worker, 1]
[sharpy] = [goffer, gopher, actor, doer, worker, 1]
[sheep] = [black_sheep, ewe, ram, tup, wether, 1]
[shenanigan] = [misbehavior, misdeed, hell, vandalism, hooliganism, -1]
[shew] = [stultify, prove_oneself, support, prove, negate, 1]
[shield] = [protective_cover, protective_covering, scale, protection, nipple_shield, -1]
[shite] = [stool, dejection, fecal_matter, faecal_matter, feces, -1]
[shithead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[shitting] = [shit, bowel_movement, movement, dump, bm, -1]
[shock_therapy] = [insulin_shock, insulin_shock_therapy, insulin_shock_treatment, metrazol_shock, metrazol_shock_therapy, -1]
[shock_treatment] = [insulin_shock, insulin_shock_therapy, insulin_shock_treatment, metrazol_shock, metrazol_shock_therapy, -1]
[shod] = [booted, slippered, roughshod, sandaled, sandalled, -1]
[shodden] = [booted, slippered, roughshod, sandaled, sandalled, -1]
[shoed] = [booted, slippered, roughshod, sandaled, sandalled, -1]
[shoot_the_breeze] = [schmooze, schmoose, shmooze, shmoose, jawbone, 1]
[shooting_brake] = [beach_wagon, station_wagon, wagon, estate_car, beach_waggon, -1]
[short_subject] = [flick, cartoon, animated_cartoon, toon, newsreel, 1]
[showman] = [mortal, person, individual, someone, somebody, 1]
[showmanship] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[showpiece] = [curio, oddity, curiosity, peculiarity, oddment, 1]
[showstopper] = [routine, bit, number, act, turn, 1]
[showtime] = [point_in_time, threshold, birth, incipiency, incipience, 1]
[shrewdness] = [foxiness, slyness, wiliness, craftiness, cunning, 1]
[shriek] = [cry, yell, call, outcry, shout, 1]
[shrieking] = [cry, yell, call, outcry, shout, 1]
[shrill] = [cry, yell, scream, hollo, call, 1]
[shrug_off] = [push_aside, brush_off, disregard, ignore, dismiss, 1]
[shunning] = [rejection, escape, near_thing, aversion, averting, 1]
[sibilate] = [pronounce, enounce, say, sound_out, enunciate, 1]
[sick_joke] = [gag, jest, jape, joke, laugh, -1]
[sidesplitter] = [gag, jest, jape, joke, laugh, -1]
[signboard] = [billboard, hoarding, sandwich_board, scoreboard, shingle, 1]
[silent_movie] = [flick, movie, film, picture, moving_picture, -1]
[silent_picture] = [flick, movie, film, picture, moving_picture, -1]
[silents] = [flick, movie, film, picture, moving_picture, -1]
[similitude] = [resemblance, comparison, equivalence, reflection, spitting_image, -1]
[simple_leaf] = [lyrate_leaf, needle, elliptic_leaf, hastate_leaf, obovate_leaf, -1]
[simple_phobia] = [acrophobia, astraphobia, cyberphobia, phobophobia, phobia, 1]
[simple_sugar] = [triose, tetrose, pentose, hexose, aldose, -1]
[simpleton] = [saphead, muggins, tomfool, fool, booby, 1]
[simulate] = [model, conform_to, pattern, take_after, mock, 1]
[sit_back] = [relax, loosen_up, unbend, unwind, decompress, -1]
[sized] = [threepenny, size, eightpenny, fourpenny, ninepenny, 1]
[skeletal_muscle] = [voluntary_muscle, deltoid, pterygoid_muscle, abductor, abductor_muscle, 1]
[skepticism] = [doubt, incertitude, dubiety, doubtfulness, dubiousness, 1]
[skilled] = [masterful, masterly, virtuoso, skillful, skilful, 1]
[skillfulness] = [adeptness, adroitness, deftness, quickness, expertness, 1]
[skin_perceptiveness] = [somesthesia, somaesthesia, somatesthesia, somesthesis, somaesthesis, -1]
[skin_sensation] = [itch, urtication, itchiness, itching, tickle, -1]
[skip_over] = [miss, neglect, overlook, drop, pretermit, -1]
[skreigh] = [squall, call, cry, yell, scream, -1]
[slattern] = [tart, prostitute, harlot, bawd, sporting_lady, -1]
[slayer] = [poisoner, choker, mortal, executioner, public_executioner, -1]
[slaying] = [massacre, mass_murder, carnage, assassination, bloodshed, -1]
[sleep_together] = [have, pair, take, couple, fornicate, 1]
[sleep_with] = [have, pair, take, couple, fornicate, 1]
[slight] = [discourtesy, snub, cold_shoulder, offense, cut, -1]
[slipper_orchid] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[slob] = [slovenly_woman, slut, trollop, slattern, litterer, -1]
[slosh_around] = [swash, spatter, splatter, plash, splash, -1]
[sloth] = [disinclination, indisposition, hesitancy, reluctance, hesitation, -1]
[slothfulness] = [disinclination, indisposition, hesitancy, reluctance, hesitation, -1]
[slough] = [dry_gangrene, cold_gangrene, mumification_necrosis, mummification, pathology, -1]
[sloven] = [slovenly_woman, slut, trollop, slattern, litterer, -1]
[slovenly_person] = [slovenly_woman, slut, trollop, slattern, litterer, -1]
[slush_around] = [swash, spatter, splatter, plash, splash, -1]
[slyboots] = [beguiler, slicker, deceiver, cheat, cheater, -1]
[small_indefinite_amount] = [little, pinch, modicum, dreg, indefinite_quantity, -1]
[small_indefinite_quantity] = [little, pinch, modicum, dreg, indefinite_quantity, -1]
[smash_hit] = [smash, bang, smasher, strike, hit, 1]
[smasher] = [mortal, person, individual, someone, somebody, 1]
[smirch] = [fingermark, blemish, mar, defect, blotch, -1]
[smoothness] = [sleekness, slickness, silkiness, powderiness, burnish, -1]
[smoothy] = [pretender, phony, phoney, hypocrite, dissembler, 1]
[smothering] = [dyspneic, dyspnoeic, dyspneal, dyspnoeal, breathless, -1]
[smuggler] = [criminal, outlaw, malefactor, felon, crook, -1]
[smut_fungus] = [onion_smut, head_smut, stinking_smut, flag_smut_fungus, covered_smut, -1]
[snake] = [viper, elapid, elapid_snake, worm_snake, blind_snake, -1]
[snatch_up] = [swoop, swoop_up, seize, prehend, clutch, 1]
[sneezeweed] = [herb, autumn_sneezeweed, orange_sneezeweed, owlclaws, rosilla, -1]
[snobbery] = [clannishness, cliquishness, exclusiveness, arrogance, haughtiness, -1]
[snobbishness] = [clannishness, cliquishness, exclusiveness, arrogance, haughtiness, -1]
[snobbism] = [clannishness, cliquishness, exclusiveness, arrogance, haughtiness, -1]
[sociability] = [gregariousness, ambiversion, openness, nakedness, extraversion, -1]
[sociableness] = [gregariousness, ambiversion, openness, nakedness, extraversion, -1]
[social_affair] = [get_together, bee, love_feast, company, function, 1]
[social_disease] = [contagious_disease, contagion, pox, granuloma_inguinale, granuloma_venereum, 1]
[social_gathering] = [get_together, bee, love_feast, company, function, 1]
[social_reformer] = [dry, insurgent, militant, passive_resister, demonstrator, -1]
[social_welfare] = [assistance, relief, economic_aid, financial_aid, social_insurance, 1]
[socket] = [hip_socket, tooth_socket, alveolus, acetabulum, cotyloid_cavity, 1]
[soft_drug] = [narcotic, bhang, cannabis, marijuana, marihuana, -1]
[software_error] = [error, syntax_error, semantic_error, runtime_error, computer_error, -1]
[soiled] = [draggled, befouled, filthy, nasty, scummy, -1]
[soldiering] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[soldiership] = [acquirement, skill, accomplishment, acquisition, attainment, 1]
[solicit] = [ask_for, lobby, quest, canvass, buttonhole, 1]
[solicitation] = [appeal, touch, prayer, beggary, begging, 1]
[solidification] = [natural_process, natural_action, activity, congealment, congelation, -1]
[solidifying] = [natural_process, natural_action, activity, congealment, congelation, -1]
[solon] = [elder_statesman, stateswoman, politician, politico, pol, 1]
[solvent] = [medium, acetone, propanone, dimethyl_ketone, chlorobenzene, 1]
[somaesthesia] = [pain_sensation, painful_sensation, prickling, tingling, pain, -1]
[somatesthesia] = [pain_sensation, painful_sensation, prickling, tingling, pain, -1]
[somatic_cell] = [mast_cell, mastocyte, labrocyte, target_cell, phagocyte, -1]
[somatic_sensation] = [pain_sensation, painful_sensation, prickling, tingling, pain, -1]
[somatotype] = [athletic_type, mesomorphy, asthenic_type, ectomorphy, endomorphy, 1]
[somesthesia] = [pain_sensation, painful_sensation, prickling, tingling, pain, -1]
[sorcerer] = [exorcist, enchanter, magus, sorceress, witch_doctor, -1]
[sorcery] = [magic, thaumaturgy, enchantment, witchcraft, witchery, -1]
[sorrower] = [unfortunate, unfortunate_person, weeper, pallbearer, bearer, -1]
[sot] = [lush, alcoholic, alky, dipsomaniac, boozer, 1]
[sottishness] = [intoxication, drunkenness, inebriation, inebriety, tipsiness, -1]
[soubrette] = [girl, miss, missy, young_lady, young_woman, 1]
[sourness] = [acidity, acidulousness, taste, taste_sensation, gustatory_sensation, -1]
[spang] = [strike, run_into, hit, impinge_on, collide_with, 1]
[spareness] = [meagerness, meagreness, poorness, scantiness, scantness, -1]
[sparseness] = [meagerness, meagreness, poorness, scantiness, scantness, -1]
[sparsity] = [meagerness, meagreness, poorness, scantiness, scantness, -1]
[spat] = [wrangle, dustup, quarrel, row, words, -1]
[spate] = [large_indefinite_quantity, large_indefinite_amount, deluge, flood, inundation, -1]
[speaking] = [whispering, voicelessness, whisper, susurration, speech, 1]
[specialness] = [individualism, individuality, individuation, idiosyncrasy, foible, 1]
[specious_argument] = [argument, straw_man, strawman, vicious_circle, special_pleading, 1]
[spectator] = [cheerer, gawker, percipient, rubberneck, starer, 1]
[speculate] = [formulate, expect, retrace, explicate, reconstruct, -1]
[speech_defect] = [upset, dysarthria, dysphonia, disorder, lallation, -1]
[speech_disorder] = [upset, dysarthria, dysphonia, disorder, lallation, -1]
[speech_production] = [whispering, voicelessness, whisper, susurration, speech, 1]
[spiciness] = [zest, sharpness, hotness, piquance, piquancy, 1]
[spina_bifida] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[spinal_anaesthetic] = [anesthetic, anaesthetic, piperocaine, piperocaine_hydrochloride, anesthetic_agent, -1]
[spinal_anesthetic] = [anesthetic, anaesthetic, piperocaine, piperocaine_hydrochloride, anesthetic_agent, -1]
[spinal_curvature] = [lordosis, kyphosis, humpback, hunchback, abnormality, -1]
[spinocerebellar_disorder] = [birth_defect, congenital_anomaly, congenital_defect, congenital_disorder, congenital_abnormality, -1]
[spiracle] = [blowhole, stigma, orifice, opening, porta, -1]
[spirit_up] = [enliven, liven, liven_up, invigorate, animate, 1]
[spirited] = [vibrant, vivacious, con_brio, lively, dashing, 1]
[spiritedness] = [chirpiness, spirit, sprightliness, liveliness, activity, 1]
[spiritize] = [riddle, diffuse, permeate, pervade, penetrate, 1]
[spiritless] = [dispirited, heartless, apathetic, bloodless, listless, -1]
[spirochaete] = [treponema, leptospira, borrelia, eubacteria, eubacterium, 1]
[spirochete] = [treponema, leptospira, borrelia, eubacteria, eubacterium, 1]
[spironolactone] = [corticosteroid, corticoid, adrenal_cortical_steroid, antihypertensive, antihypertensive_drug, -1]
[spirt] = [discharge, spray, spritz, outpouring, run, -1]
[splodge] = [spot, smirch, daub, smudge, blot, 1]
[splotch] = [spot, smirch, daub, smudge, blot, 1]
[spoiling] = [decay, mildew, mold, mould, souring, -1]
[spoilsport] = [worrier, fusspot, worrywart, unwelcome_person, persona_non_grata, -1]
[spondylitis] = [rubor, redness, inflammation, ankylosing_spondylitis, rheumatoid_spondylitis, -1]
[spontaneous] = [natural, impulsive, intuitive, instinctive, unprompted, -1]
[sporadic] = [stray, spasmodic, unpredictable, isolated, irregular, -1]
[sporanox] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[spore_case] = [megasporangium, macrosporangium, microsporangium, eusporangium, leptosporangium, 1]
[sporophyl] = [megasporophyll, microsporophyll, leaf, leafage, foliage, 1]
[sporophyll] = [megasporophyll, microsporophyll, leaf, leafage, foliage, 1]
[sporozoan] = [coccidium, eimeria, piroplasm, haplosporidian, sporozoite, 1]
[sporting_lady] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[sports_car] = [car, auto, automobile, machine, motorcar, -1]
[sports_equipment] = [sporting_goods, weight, mat, free_weight, exercising_weight, 1]
[sports_fan] = [enthusiast, partizan, partisan, aficionado, railbird, 1]
[sportswear] = [attire, garb, dress, gym_suit, running_suit, -1]
[spot_promote] = [kick_upstairs, promote, elevate, upgrade, advance, 1]
[spread] = [diffusion, dispersion, scattering, invasion, irradiation, 1]
[sprightliness] = [irrepressibility, spiritedness, brio, vim, delicacy, 1]
[spurn] = [snub, rebuff, repel, refuse, decline, -1]
[spurt] = [discharge, spray, spritz, outpouring, run, -1]
[squabble] = [wrangle, dustup, quarrel, row, words, -1]
[squanderer] = [spendthrift, waster, wastrel, spender, scattergood, 1]
[squeak_by] = [manage, make_out, cope, get_by, make_do, -1]
[squealer] = [fink, snitch, snitcher, sneak, stoolpigeon, -1]
[squeeze_by] = [manage, make_out, cope, get_by, make_do, -1]
[squeeze_out] = [displace, fire, give_notice, can, dismiss, -1]
[squint] = [divergent_strabismus, exotropia, walleye, abnormality, abnormalcy, -1]
[stamp_mill] = [battery, stamp_battery, quartz_battery, quartz_mill, factory, -1]
[stamping_mill] = [battery, stamp_battery, quartz_battery, quartz_mill, factory, -1]
[stand_firm] = [hold_off, defy, withstand, hold_up, fight, -1]
[standardize] = [gauge, govern, regulate, regularize, order, -1]
[standing] = [ranking, importance, honor, laurels, prominence, 1]
[star] = [giant, variable, supernova, supergiant, binary_star, 1]
[starer] = [looker, spectator, viewer, watcher, witness, 1]
[starting_time] = [point_in_time, threshold, birth, incipiency, incipience, 1]
[state] = [commonwealth, eparchy, administrative_district, administrative_division, territorial_division, 1]
[state_highway] = [autobahn, autostrada, turnpike, toll_road, highway, 1]
[state_of_mind] = [case, thinking_cap, temporary_state, psychological_state, psychological_condition, 1]
[state_of_nature] = [primitiveness, crudeness, crudity, primitivism, rudeness, -1]
[statesman] = [elder_statesman, stateswoman, politician, politico, pol, 1]
[statin] = [medicament, medicinal_drug, medication, medicine, atorvastatin, 1]
[statin_drug] = [medicament, medicinal_drug, medication, medicine, atorvastatin, 1]
[statistical_distribution] = [sampling, equidistribution, frequency_distribution, normal_distribution, sample_distribution, 1]
[statutory_offence] = [crime, bigamy, sexual_assault, sexual_abuse, sex_crime, -1]
[statutory_offense] = [crime, bigamy, sexual_assault, sexual_abuse, sex_crime, -1]
[steadiness] = [resoluteness, firmness_of_purpose, firmness, resolve, resolution, 1]
[steamroll] = [coerce, hale, pressure, force, squeeze, 1]
[steel_factory] = [rolling_mill, factory, mill, manufacturing_plant, manufactory, 1]
[steel_mill] = [rolling_mill, factory, mill, manufacturing_plant, manufactory, 1]
[steel_plant] = [rolling_mill, factory, mill, manufacturing_plant, manufactory, 1]
[steelworks] = [rolling_mill, factory, mill, manufacturing_plant, manufactory, 1]
[stenosis] = [rhinostenosis, enterostenosis, laryngostenosis, aortic_stenosis, mitral_stenosis, -1]
[step_dancing] = [tap_dancing, tap_dance, dancing, dance, terpsichore, 1]
[step_down] = [vacate, resign, give_up, renounce, depart, -1]
[sternness] = [asperity, grimness, rigor, hardship, rigorousness, 1]
[stet] = [nullify, invalidate, annul, void, quash, -1]
[stick_out] = [bag, overhang, thrust, push_up, spear, 1]
[stimulative] = [adrenocorticotropic, adrenocorticotrophic, stimulant, stimulating, excitant, 1]
[sting_operation] = [hustle, con, bunco, sting, bunco_game, 1]
[stingy] = [parsimonious, penurious, scrimy, beggarly, chintzy, -1]
[stinkiness] = [body_odor, aroma, scent, olfactory_property, smell, -1]
[stitchery] = [patchwork, darn, mend, stitch, applique, 1]
[stodginess] = [somberness, sombreness, gravity, soberness, graveness, -1]
[stonewaller] = [obstructor, obstructer, obstructionist, resister, thwarter, -1]
[stopper] = [routine, bit, number, act, turn, 1]
