[fragrancy] = [scent, aroma, olfactory_property, smell, odor, 1]
[imitative] = [simulated, apish, parrotlike, apelike, mimic, -1]
[imitator] = [mimic, beguiler, slicker, mimicker, deceiver, -1]
[immatureness] = [juvenility, state, greenness, callowness, jejuneness, -1]
[immaturity] = [juvenility, state, greenness, callowness, jejuneness, -1]
[immeasurable] = [illimitable, limitless, measureless, unmeasured, abysmal, -1]
[immensurable] = [illimitable, limitless, measureless, unmeasured, abysmal, -1]
[immobile] = [immovable, immoveable, unmovable, nonmotile, immotile, -1]
[immoderate] = [outrageous, exorbitant, extortionate, usurious, abnormal, -1]
[immoderateness] = [excess, degree, grade, level, excessiveness, -1]
[immoderation] = [excess, degree, grade, level, excessiveness, -1]
[immorality] = [evil, wrongness, putrefaction, wantonness, corruptibility, -1]
[immovability] = [tautness, fixity, secureness, steadiness, firmness, -1]
[immovableness] = [tautness, fixity, secureness, steadiness, firmness, -1]
[immunodeficiency] = [agammaglobulinemia, hypogammaglobulinemia, immunological_disorder, acquired_immune_deficiency_syndrome, severe_combined_immunodeficiency, -1]
[immunological_disorder] = [upset, disorder, immunodeficiency, anergy, immunosuppression, -1]
[immutability] = [unalterability, agelessness, changelessness, unchangeability, unchangeableness, -1]
[immutableness] = [unalterability, agelessness, changelessness, unchangeability, unchangeableness, -1]
[imp] = [faery, faerie, fairy, leprechaun, sandman, 1]
[impaired] = [vitiated, dicky, dickey, lessened, diminished, -1]
[impairment] = [hurt, detriment, deformation, distortion, modification, -1]
[impartial] = [disinterested, dispassionate, indifferent, unbiased, unbiassed, 1]
[impediment] = [difficulty, straitjacket, millstone, drag, obstruction, -1]
[impedimenta] = [encumbrance, incumbrance, block, bar, blockade, -1]
[impenitence] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[impenitency] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[imperceptible] = [incognizable, incognoscible, insensible, unobservable, indiscernible, -1]
[imperfection] = [weakness, fault, flaw, defect, wart, -1]
[imperfectness] = [weakness, fault, flaw, defect, wart, -1]
[imperishable] = [imputrescible, undestroyable, indestructible, durable, perdurable, -1]
[impermanence] = [temporariness, transience, transiency, transitoriness, mortality, -1]
[impermanency] = [temporariness, transience, transiency, transitoriness, mortality, -1]
[impermeability] = [retention, retentiveness, retentivity, solidness, nonabsorbency, -1]
[impermeableness] = [retention, retentiveness, retentivity, solidness, nonabsorbency, -1]
[impermissible] = [out, unmentionable, untouchable, taboo, tabu, -1]
[impersonator] = [mimic, beguiler, slicker, mimicker, deceiver, -1]
[imperviable] = [soundproof, mothproof, resistant, proof, greaseproof, -1]
[impervious] = [soundproof, mothproof, resistant, proof, greaseproof, -1]
[impiety] = [unrighteousness, undutifulness, godlessness, ungodliness, irreligiousness, 1]
[impiousness] = [unrighteousness, undutifulness, godlessness, ungodliness, irreligiousness, 1]
[implacable] = [stern, unmitigable, relentless, unrelenting, grim, 1]
[implausible] = [farfetched, unbelievable, cockamamie, cockamamy, unlikely, 1]
[implicit] = [tacit, understood, unvoiced, silent, unspoken, 1]
[impolite] = [ungracious, discourteous, bratty, brattish, unparliamentary, 1]
[impoliteness] = [bad_manners, rudeness, gaucheness, crudeness, crudity, 1]
[imposition] = [protection, regimentation, taxation, trade_protection, reimposition, -1]
[impossibility] = [inconceivability, inconceivableness, nonexistence, nonentity, unattainableness, -1]
[impossibleness] = [inconceivability, inconceivableness, nonexistence, nonentity, unattainableness, -1]
[imposter] = [beguiler, slicker, name_dropper, ringer, deceiver, -1]
[impostor] = [beguiler, slicker, name_dropper, ringer, deceiver, -1]
[impotence] = [impuissance, weakness, unpersuasiveness, uninterestingness, helplessness, -1]
[impotency] = [impuissance, weakness, unpersuasiveness, uninterestingness, helplessness, -1]
[impotent] = [unable, ineffectual, ineffective, impuissant, effete, -1]
[impoverishment] = [destitution, deprivation, indigence, penury, pauperism, -1]
[impracticability] = [infeasibility, unfeasibility, inutility, uselessness, unusefulness, -1]
[impracticableness] = [infeasibility, unfeasibility, inutility, uselessness, unusefulness, -1]
[impractical] = [unfunctional, meshugge, meshugga, meshuga, meshuggeneh, -1]
[imprecate] = [call_down, stir, call_forth, conjure, bring_up, -1]
[impressible] = [spinnable, susceptible, easy, pliant, plastic, 1]
[impressionable] = [spinnable, susceptible, easy, pliant, plastic, 1]
[impressive] = [majestic, formidable, awesome, awing, brilliant, 1]
[impressiveness] = [expansiveness, expansivity, stateliness, loftiness, excellence, -1]
[imprimatur] = [okay, approval, commendation, okey, okeh, 1]
[improbability] = [unlikelihood, unlikeliness, uncertainty, precariousness, uncertainness, 1]
[improbableness] = [unlikelihood, unlikeliness, uncertainty, precariousness, uncertainness, 1]
[improper] = [wrong, incorrect, unbecoming, uncomely, unseemly, -1]
[improperness] = [wrongness, inappropriateness, indecency, incorrectness, indelicacy, -1]
[impropriety] = [wrongness, inappropriateness, indecency, incorrectness, indelicacy, -1]
[improvident] = [myopic, short, shortsighted, unforesightful, thriftless, -1]
[imprudence] = [incaution, incautiousness, mindlessness, rashness, heedlessness, 1]
[impulse] = [motive, need, motivation, abience, adience, -1]
[impure] = [dirty, dingy, muddied, alloyed, adulterate, -1]
[impureness] = [debasement, dirtiness, pollution, taint, adulteration, 1]
[inability] = [mental_block, uncreativeness, stupidity, illiteracy, analphabetism, -1]
[inaccessible] = [outback, trackless, pathless, roadless, untracked, 1]
[inaccurate] = [wrong, incorrect, wide_of_the_mark, unfaithful, faulty, -1]
[inactiveness] = [halt, extinction, stagnancy, stagnation, stasis, -1]
[inadequacy] = [meagerness, meagreness, poorness, scantiness, scantness, -1]
[inadequate] = [undermanned, understaffed, deficient, lacking, wanting, -1]
[inalienable] = [infrangible, nontransferable, unassignable, untransferable, inviolable, -1]
[inarticulate] = [aphasic, aphonic, speechless, unarticulated, dumb, -1]
[inattention] = [disregard, distraction, inattentiveness, neglect, heedlessness, -1]
[inattentive] = [absent, forgetful, distracted, distrait, scatty, -1]
[inaudible] = [silent, voiceless, unsounded, breathed, supersonic, -1]
[inborn_error_of_metabolism] = [lysinemia, galactosemia, genetic_disease, genetic_disorder, genetic_abnormality, -1]
[incalculable] = [indeterminable, infinite, myriad, immeasurable, countless, -1]
[incapacitate] = [lay_up, modify, nobble, alter, change, -1]
[incautious] = [impulsive, tearaway, hotheaded, madcap, impetuous, 1]
[incertitude] = [incredulity, mental_rejection, skepticism, mistrust, distrust, 1]
[inciter] = [troublemaker, trouble_maker, troubler, bad_hat, ringleader, -1]
[inclemency] = [overcast, weather, raw_weather, storminess, cloudiness, -1]
[inclementness] = [overcast, weather, raw_weather, storminess, cloudiness, -1]
[inclination] = [understanding, propensity, leaning, favor, proclivity, 1]
[inclined] = [fond, tending, disposed, partial, given, 1]
[incoherent] = [unconnected, confused, scattered, disordered, garbled, -1]
[incommode] = [distress, straiten, impact, bear_on, touch, -1]
[incommunicative] = [incommunicado, unpronounceable, impassive, inexpressive, silent, -1]
[incomparable] = [matchless, nonpareil, one_and_only, peerless, unmatchable, 1]
[incompetent] = [butcher, fuckup, slouch, bungler, blunderer, -1]
[incompetent_person] = [butcher, fuckup, slouch, bungler, blunderer, -1]
[incomplete] = [sketchy, unelaborated, partial, uncompleted, broken, 1]
[incomprehensible] = [unexplainable, unaccountable, unexplained, inscrutable, mystifying, -1]
[inconclusive] = [nisi, indeterminate, equivocal, neck_and_neck, nip_and_tuck, -1]
[inconclusiveness] = [indefiniteness, indeterminateness, indefinity, indetermination, indeterminacy, 1]
[inconsistent] = [discrepant, unreconciled, scratchy, uneven, contradictory, -1]
[inconstant] = [mutable, false, fickle, untrue, volatile, 1]
[incontestable] = [watertight, incontrovertible, unanswerable, bulletproof, unassailable, -1]
[incontestible] = [watertight, incontrovertible, unanswerable, bulletproof, unassailable, -1]
[incontinence] = [enuresis, urinary_incontinence, elimination, evacuation, excretion, 1]
[incontinency] = [enuresis, urinary_incontinence, elimination, evacuation, excretion, -1]
[incorporeal] = [discorporate, unembodied, disembodied, bodiless, unbodied, -1]
[incorporeality] = [unreality, insubstantiality, quality, intangibility, intangibleness, -1]
[incorrigible] = [uncorrectable, unreformable, unregenerate, uncontrollable, unmanageable, -1]
[incredulity] = [doubt, incertitude, dubiety, doubtfulness, dubiousness, 1]
[incubus] = [daemon, daimon, devil, demon, fiend, 1]
[inculpative] = [condemnatory, condemning, accusatory, accusing, accusive, -1]
[inculpatory] = [condemnatory, condemning, accusatory, accusing, accusive, -1]
[indebtedness] = [account_payable, payable, limited_liability, debt, arrears, 1]
[indecency] = [improperness, outrageousness, impropriety, immodesty, obscenity, -1]
[indecisive] = [on_the_fence, suspensive, undecided, hesitant, hesitating, 1]
[indecisiveness] = [wavering, doubt, incertitude, dubiety, doubtfulness, 1]
[indefinite] = [unfixed, one, nebulous, indecisive, coy, -1]
[indefinite_quantity] = [large_indefinite_quantity, large_indefinite_amount, small_indefinite_quantity, small_indefinite_amount, breakage, -1]
[indelicacy] = [improperness, impropriety, raciness, spiciness, gaminess, -1]
[indemnification] = [atonement, expiation, punitive_damages, exemplary_damages, compensation, -1]
[indictment] = [instrument, murder_charge, murder_indictment, true_bill, legal_document, 1]
[indigence] = [poverty, impoverishment, poorness, beggary, mendicancy, -1]
[indigestible] = [flatulent, nondigestible, undigested, stodgy, heavy, -1]
[indirectness] = [deviousness, mediacy, mediateness, characteristic, allusiveness, -1]
[indiscipline] = [indulgence, incontinence, trait, dissoluteness, unrestraint, -1]
[indiscreet] = [bigmouthed, blabby, blabbermouthed, talkative, imprudent, -1]
[indiscreetness] = [sagacity, sagaciousness, discernment, judgment, judgement, 1]
[indisputability] = [demonstrability, provability, positivity, positiveness, certainty, 1]
[indistinct] = [blurry, foggy, hazy, muzzy, blurred, -1]
[indistinctness] = [opaqueness, faintness, dimness, opacity, vagueness, 1]
[individualism] = [uniqueness, singularity, specialty, speciality, distinctiveness, 1]
[individuality] = [uniqueness, singularity, specialty, speciality, distinctiveness, 1]
[indolence] = [inertia, inactiveness, inactivity, faineance, idleness, -1]
[indorse] = [okay, warrant, sanction, approve, champion, 1]
[indorser] = [friend, champion, supporter, protagonist, admirer, 1]
[indubitability] = [demonstrability, provability, positivity, positiveness, certainty, 1]
[indulgent] = [luxurious, luxuriant, sybaritic, voluptuary, gay, 1]
[induration] = [osteosclerosis, multiple_sclerosis, disseminated_sclerosis, disseminated_multiple_sclerosis, pathology, -1]
[industriousness] = [sedulity, sedulousness, assiduity, assiduousness, studiousness, 1]
[ineffectiveness] = [powerlessness, impotence, impotency, inefficacy, inefficaciousness, -1]
[ineffectuality] = [powerlessness, impotence, impotency, inefficacy, inefficaciousness, -1]
[ineffectualness] = [powerlessness, impotence, impotency, inefficacy, inefficaciousness, -1]
[inelasticity] = [deadness, rigidity, rigidness, stiffness, physical_property, -1]
[inelegance] = [quality, tastelessness, sleaziness, coarseness, commonness, 1]
[ineligible] = [unsuitable, undesirable, unqualified, disqualified, unentitled, -1]
[ineradicable] = [inexterminable, inextirpable, inexpungible, inexpungeable, indelible, -1]
[inertia] = [languor, passiveness, phlegm, passivity, indolence, -1]
[inexact] = [approximative, rough, approximate, loose, odd, -1]
[inexcusable] = [indefensible, unwarranted, insupportable, unjustifiable, unwarrantable, -1]
[inexpensiveness] = [reasonableness, modestness, cost, cut_rate, cut_price, 1]
[inexperienced] = [naive, new, fledgling, young, raw, 1]
[inexperienced_person] = [naif, boy_scout, dear, virgin, mortal, 1]
[inexperient] = [naive, new, fledgling, young, raw, 1]
[inexplicable] = [unexplainable, unaccountable, unexplained, inscrutable, mystifying, -1]
[inexplicit] = [tacit, understood, unvoiced, silent, unspoken, 1]
[infallibility] = [inerrancy, dependability, dependableness, reliability, reliableness, -1]
[infallible] = [inerrable, inerrant, unerring, unfailing, foolproof, -1]
[infant_feeding] = [nursing, schedule_feeding, demand_feeding, breast_feeding, feeding, -1]
[infant_prodigy] = [child, small_fry, tyke, tike, kid, 1]
[infatuate] = [arouse, elicit, enkindle, kindle, evoke, 1]
[infected] = [dirty, putrefactive, putrefacient, abscessed, contaminative, -1]
[infelicitous] = [unfortunate, inapt, inept, awkward, clumsy, -1]
[inferiority] = [low_status, lowness, backseat, lowliness, subordinateness, -1]
[infernal_region] = [hellfire, red_region, imaginary_place, mythical_place, fictitious_place, -1]
[infertility] = [cacogenesis, impotence, impotency, barrenness, dysgenesis, -1]
[infidel] = [paynim, nonreligious_person, idolizer, idolater, idol_worshiper, -1]
[infirmary] = [lazaret, lazarette, lazar_house, pesthouse, lazaretto, 1]
[infirmity] = [cachexia, cachexy, wasting, softness, unfitness, 1]
[inflammation] = [blepharitis, diverticulitis, epiglottitis, orchitis, prostatitis, -1]
[inflammatory_bowel_disease] = [regional_enteritis, regional_ileitis, ulcerative_colitis, rubor, redness, -1]
[inflammatory_disease] = [angina, gastroenteritis, stomach_flu, intestinal_flu, pelvic_inflammatory_disease, -1]
[inflexible] = [adamant, inexorable, intransigent, ironclad, brassbound, -1]
[inflict] = [intrude, obtrude, clamp, give, communicate, -1]
[infliction] = [protection, regimentation, taxation, trade_protection, reimposition, -1]
[influential] = [important, prestigious, powerful, authoritative, potent, 1]
[informatory] = [advisory, consultative, consultatory, consultive, revealing, 1]
[informed] = [enlightened, conversant, hep, hip, hip_to, 1]
[informer] = [fink, snitch, snitcher, sneak, stoolpigeon, -1]
[infringe] = [offend, violate, go_against, break, transgress, -1]
[ingeniousness] = [resourcefulness, imagination, creativity, creativeness, creative_thinking, -1]
[ingenuity] = [resourcefulness, imagination, creativity, creativeness, creative_thinking, -1]
[ingratiate] = [cozy_up, cotton_up, shine_up, sidle_up, play_up, 1]
[inharmonious] = [discordant, dissonant, unresolved, false, disharmonious, -1]
[inherited_disease] = [abetalipoproteinemia, congenital_megacolon, juvenile_amaurotic_idiocy, congenital_afibrinogenemia, lactose_intolerance, -1]
[inherited_disorder] = [abetalipoproteinemia, congenital_megacolon, juvenile_amaurotic_idiocy, congenital_afibrinogenemia, lactose_intolerance, -1]
[inhospitable] = [unfriendly, barren, bleak, desolate, wild, -1]
[inhuman_treatment] = [atrocity, maltreatment, abuse, inhumanity, impalement, -1]
[inhumane] = [cold, pitiless, cruel, fell, vicious, -1]
[inhumanity] = [atrociousness, barbarousness, heinousness, atrocity, barbarity, -1]
[iniquity] = [deviltry, devilry, irreverence, foul_play, sexual_immorality, -1]
[injudiciousness] = [sagacity, sagaciousness, discernment, judgment, judgement, 1]
[injured] = [wounded, mangled, torn, hurt, eviscerate, -1]
[inkiness] = [coal_black, jet_black, pitch_black, soot_black, achromatic_color, -1]
[inquisitor] = [inquirer, enquirer, questioner, querier, asker, -1]
[inroad] = [usurpation, trespass, encroachment, intrusion, violation, -1]
[insane_asylum] = [snake_pit, booby_hatch, crazy_house, cuckoo's_nest, funny_farm, -1]
[insatiable] = [unsatisfied, quenchless, unquenchable, unsated, unsatiated, -1]
[insatiate] = [unsatisfied, quenchless, unquenchable, unsated, unsatiated, -1]
[insect_bite] = [injury, harm, hurt, mosquito_bite, trauma, -1]
[insensible] = [numb, benumbed, anesthetic, anaesthetic, asleep, -1]
[insensitiveness] = [insensibility, tin_ear, hardness, unfitness, unfeelingness, -1]
[insensitivity] = [insensibility, tin_ear, hardness, unfitness, unfeelingness, -1]
[insincere] = [feigned, dissimulative, specious, hypocritical, fulsome, -1]
[insist] = [stand_pat, hold_firm, stand_fast, maintain, stand_firm, -1]
[insolence] = [rudeness, discourtesy, chutzpa, chutzpah, hutzpah, 1]
[inspect] = [review, go_over, survey, perambulate, case, 1]
[inspirit] = [enliven, liven, liven_up, invigorate, animate, 1]
[instancy] = [quickness, celerity, rapidity, rapidness, speediness, 1]
[instigant] = [troublemaker, trouble_maker, troubler, bad_hat, ringleader, -1]
[instigator] = [troublemaker, trouble_maker, troubler, bad_hat, ringleader, -1]
[instill] = [add, contribute, lend, breathe, impart, 1]
[instruct] = [reward, mentor, reinforce, spoonfeed, lecture, 1]
[instrument] = [medical_instrument, optical_instrument, scientific_instrument, extractor, whip, 1]
[instrument_of_torture] = [rack, boot, the_boot, iron_boot, iron_heel, -1]
[insubordinate] = [contumacious, disobedient, unruly, rebellious, mutinous, -1]
[insubstantial] = [airy, shadowy, stringy, wraithlike, ethereal, -1]
[insufficient] = [inadequate, depleted, poor, short, low, -1]
[insulate] = [soundproof, modify, alter, change, weatherstrip, -1]
[insurgent] = [reformist, social_reformer, meliorist, reformer, crusader, -1]
[insusceptible] = [unpersuadable, unsuasible, unresponsive, resistant, incapable, -1]
[integrality] = [completeness, works, whole_shebang, whole_kit_and_caboodle, kit_and_caboodle, 1]
[integrative] = [combinative, combinatory, consolidative, unifying, combinatorial, -1]
[intellection] = [reasoning, consideration, logical_thinking, abstract_thought, excogitation, 1]
[intemperateness] = [vice, drink, drinking, boozing, drunkenness, 1]
[intensifying] = [heightening, thickening, aggravating, exacerbating, deepening, 1]
[intensity] = [candlepower, light_intensity, acoustic_power, sound_pressure_level, threshold_level, -1]
[intensiveness] = [badness, severity, severeness, fury, wildness, -1]
[interchangeability] = [transferability, convertibility, changeableness, changeability, permutability, 1]
[interchangeableness] = [transferability, convertibility, changeableness, changeability, permutability, 1]
[interconnect] = [intercommunicate, connect, link, link_up, join, 1]
[interesting] = [intriguing, absorbing, engrossing, fascinating, gripping, 1]
[interestingness] = [color, newsworthiness, shrillness, vividness, charisma, 1]
[interlink] = [intercommunicate, connect, link, link_up, join, 1]
[intermixture] = [mincemeat, stuffing, dressing, roux, batter, 1]
[internality] = [spiritism, otherworldliness, spirituality, spiritualism, introversion, 1]
[internationalism] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, 1]
[internationality] = [reach, range, compass, scope, orbit, 1]
[interrogator] = [inquirer, enquirer, questioner, querier, asker, -1]
[interrogatory] = [inquisition, interview, catechism, deposition, third_degree, -1]
[intersperse] = [set, pose, lay, interleave, put, 1]
[intolerable] = [unsupportable, unacceptable, bitter, impossible, insufferable, -1]
[intractability] = [mulishness, unruliness, fractiousness, willfulness, wilfulness, -1]
[intractable] = [unmalleable, stubborn, refractory, uncontrollable, balking, -1]
[intractableness] = [mulishness, unruliness, fractiousness, willfulness, wilfulness, -1]
[intransigence] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[intransigency] = [stubbornness, obstinacy, obstinance, bullheadedness, pigheadedness, -1]
[intrinsic] = [constitutional, integral, intimate, inner, inbuilt, 1]
[intrinsical] = [constitutional, integral, intimate, inner, inbuilt, 1]
[intrude] = [bother, barge_in, come_in, break_in, crash, -1]
[intrude_on] = [raid, come_in, foray_into, enter, get_into, -1]
[intrusive] = [interfering, meddlesome, meddling, officious, busybodied, -1]
[intrust] = [hand, commend, reach, charge, give, 1]
[intuit] = [compass, apprehend, grok, get_the_picture, savvy, -1]
[intumescence] = [hematoma, haematoma, puffiness, swelling, lump, -1]
[intumescency] = [hematoma, haematoma, puffiness, swelling, lump, -1]
[inutility] = [quality, futility, impracticality, worthlessness, impracticability, 1]
[invalidate] = [stet, set_aside, break, cancel, strike_down, -1]
[invalidity] = [illogicality, illogicalness, illogic, inconsequence, fallaciousness, -1]
[invalidness] = [illogicality, illogicalness, illogic, inconsequence, fallaciousness, -1]
[invariableness] = [unvariedness, changelessness, unchangeability, unchangeableness, unchangingness, -1]
[invariance] = [unvariedness, changelessness, unchangeability, unchangeableness, unchangingness, -1]
[invective] = [abuse, vilification, insult, revilement, contumely, -1]
[inveigh] = [quetch, kvetch, complain, sound_off, plain, -1]
[inventiveness] = [resourcefulness, imagination, creativity, creativeness, creative_thinking, -1]
[invertebrate] = [animal, animate_being, ctenophore, comb_jelly, beast, -1]
[investigating] = [tally, numeration, tap, scrutiny, testing, 1]
[investigator] = [experimenter, boffin, fieldworker, postdoc, post_doc, 1]
[invigilate] = [watch_over, keep_an_eye_on, watch, observe, follow, 1]
[invigorating] = [exhilarating, animating, enlivening, refreshing, restorative, 1]
[invigoration] = [chirpiness, spirit, sprightliness, liveliness, activity, 1]
[invisible] = [occult, concealed, nonvisual, hidden, out_of_sight, -1]
[involuntariness] = [resistance, disinclination, indisposition, temperament, hesitancy, -1]
[invulnerable] = [defendable, defensible, impregnable, secure, bombproof, 1]
[inwardness] = [content, quintessence, stuff, bare_bones, hypostasis, 1]
[ionizing_radiation] = [alpha_radiation, alpha_ray, beta_radiation, beta_ray, electron_radiation, 1]
[irish_bull] = [rot, bunk, bunkum, buncombe, guff, -1]
[irrational_motive] = [passion, irrational_impulse, compulsion, motivation, need, 1]
[irreality] = [nonexistence, nonentity, cloud, falseness, falsity, -1]
[irrelevant] = [inapplicable, unsuitable, immaterial, extraneous, orthogonal, -1]
[irreligious] = [heathen, heathenish, pagan, lapsed, nonchurchgoing, -1]
[irresoluteness] = [unpredictability, indecisiveness, indecision, trait, volatility, -1]
[irresolution] = [hesitation, uncertainty, doubt, incertitude, dubiety, -1]
[irresponsibility] = [untrustworthiness, untrustiness, undependability, undependableness, unreliability, -1]
[irresponsible] = [freewheeling, carefree, slaphappy, unaccountable, loose, 1]
[irresponsibleness] = [untrustworthiness, untrustiness, undependability, undependableness, unreliability, -1]
[irreverent] = [aweless, awless, disrespectful, sacrilegious, blasphemous, 1]
[irritability] = [ill_humor, distemper, pet, testiness, touchiness, -1]
[irritant] = [pain_in_the_ass, pain, pain_in_the_neck, annoyance, bother, -1]
[irrupt] = [bother, barge_in, come_in, break_in, crash, -1]
[irruption] = [entrance, entering, entry, ingress, incoming, -1]
[issue] = [gut_issue, content, paramount_issue, pocketbook_issue, quodlibet, 1]
[itraconazole] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[jactitation] = [crow, crowing, bluster, bragging, vaporing, -1]
[jailhouse] = [lockup, holding_cell, workhouse, bastille, hoosegow, 1]
[jalopy] = [dysphemism, car, auto, automobile, machine, -1]
[jam] = [conserve, preserve, strawberry_jam, strawberry_preserves, conserves, -1]
[jape] = [humor, wow, funny, dirty_joke, dirty_story, 1]
[japery] = [folly, lunacy, craziness, indulgence, shtik, 1]
[jar_against] = [run_into, strike, hit, impinge_on, collide_with, -1]
[jaundice] = [jaundice_of_the_newborn, physiological_jaundice_of_the_newborn, icterus_neonatorum, kernicterus, symptom, -1]
[jauntiness] = [chic, chicness, chichi, modishness, stylishness, 1]
[jawless_fish] = [hag, osteostracan, cephalaspid, ostracoderm, heterostracan, -1]
[jawless_vertebrate] = [hag, osteostracan, cephalaspid, ostracoderm, heterostracan, -1]
[jazz_around] = [range, ramble, vagabond, tramp, roam, 1]
[jazz_up] = [enliven, liven, liven_up, invigorate, animate, 1]
[jeep] = [car, auto, automobile, machine, motorcar, 1]
[jelly] = [dainty, delicacy, treat, gelatin_dessert, aspic, 1]
[jest] = [humor, wow, funny, dirty_joke, dirty_story, 1]
[jeweled_headdress] = [crown, diadem, tiara, headdress, headgear, -1]
[jewelled_headdress] = [crown, diadem, tiara, headdress, headgear, -1]
[jewellery] = [gem, adornment, jewel, bead, bangle, 1]
[jewelry] = [gem, adornment, jewel, bead, bangle, 1]
[jimdandy] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[jimhickey] = [nonesuch, nonsuch, ideal, nonpareil, apotheosis, 1]
[jockey_club] = [club, social_club, society, guild, gild, 1]
[jollification] = [jinks, high_jinks, hijinks, high_jinx, revel, -1]
[joyous] = [joyful, ecstatic, enraptured, rapturous, rapt, -1]
[judiciary] = [administration, governance, governing_body, establishment, brass, 1]
[judiciousness] = [sagacity, sagaciousness, care, caution, discernment, 1]
[jugglery] = [guile, trickery, chicanery, wile, shenanigan, 1]
[jugular] = [anterior_jugular_vein, external_jugular_vein, internal_jugular_vein, vein, vena, 1]
[juice_up] = [enliven, liven, liven_up, invigorate, animate, 1]
[junk_heap] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[junk_pile] = [dump, garbage_dump, trash_dump, rubbish_dump, wasteyard, -1]
[juvenile_amaurotic_idiocy] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[kainogenesis] = [growth, growing, maturation, development, ontogeny, -1]
[keep_an_eye_on] = [check_up_on, suss_out, check_over, check_into, check, 1]
[kenogenesis] = [growth, growing, maturation, development, ontogeny, -1]
[keratosis] = [keratosis_blennorrhagica, keratoderma_blennorrhagica, keratosis_pilaris, seborrheic_keratosis, verruca, -1]
[kerfuffle] = [turmoil, convulsion, tempest, disorder, earthquake, -1]
[key] = [master, ignition_key, latchkey, passkey, master_key, 1]
[kick_downstairs] = [designate, depute, reduce, sideline, delegate, -1]
[kick_upstairs] = [ennoble, gentle, prefer, spot_promote, favor, 1]
[kidney_disease] = [uropathy, polyuria, polycystic_kidney_disease, renal_failure, kidney_failure, 1]
[kidney_failure] = [acute_renal_failure, acute_kidney_failure, chronic_renal_failure, chronic_kidney_failure, nephrosis, -1]
[killjoy] = [worrier, fusspot, worrywart, unwelcome_person, persona_non_grata, -1]
[kiss_of_death] = [calamity, catastrophe, tragedy, disaster, cataclysm, -1]
[klutz] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[knavery] = [wrongdoing, treachery, perfidy, charlatanism, treason, 1]
[knickknackery] = [curio, oddity, curiosity, peculiarity, oddment, 1]
[knock_against] = [run_into, strike, hit, impinge_on, collide_with, -1]
[knockout_punch] = [poke, clout, lick, punch, biff, -1]
[knowing] = [farsightedness, prevision, apprehension, savvy, discernment, -1]
[knuckle_under] = [consent, give_in, go_for, submit, accept, 1]
[knucklehead] = [stupid, stupid_person, stupe, dullard, dolt, -1]
[ko_punch] = [poke, clout, lick, punch, biff, -1]
[kudos] = [superlative, compliment, testimonial, good_word, approval, 1]
[kvetch] = [whiner, complainer, moaner, sniveller, crybaby, -1]
[lace] = [shoe_string, shoestring, cord, bootlace, shoelace, -1]
[lacing] = [liquor, spirits, booze, hard_drink, hard_liquor, -1]
[lactase_deficiency] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[lactobacillus_acidophilus] = [lactobacillus, probiotic, probiotic_bacterium, probiotic_microflora, probiotic_flora, -1]
[lactose_intolerance] = [genetic_disease, genetic_disorder, genetic_abnormality, genetic_defect, congenital_disease, -1]
[ladies'_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[lady's_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[lady_of_pleasure] = [slattern, camp_follower, call_girl, comfort_woman, ianfu, -1]
[lady_slipper] = [moccasin_flower, nerveroot, showy_lady_slipper, yellow_lady's_slipper, clustered_lady's_slipper, -1]
[laissez_faire] = [philosophy, doctrine, philosophical_system, school_of_thought, ism, -1]
[lamb_roast] = [leg_of_lamb, gigot, joint, roast, rack_of_lamb, 1]
[lamenter] = [unfortunate, unfortunate_person, weeper, pallbearer, bearer, -1]
[lamisil] = [antifungal, antifungal_agent, fungicide, antimycotic, antimycotic_agent, 1]
[landing_strip] = [flare_path, airfield, landing_field, flying_field, field, -1]
[landrover] = [car, auto, automobile, machine, motorcar, 1]
[lantern_jaw] = [jowl, lower_jaw, mandible, mandibula, mandibular_bone, 1]
[large_indefinite_amount] = [infinitude, piles, mess, large_number, tons, -1]
[large_indefinite_quantity] = [infinitude, piles, mess, large_number, tons, -1]
[large_integer] = [gross, century, grand, million, billion, 1]
[lasciviousness] = [amorousness, sexiness, amativeness, eroticism, erotism, 1]
[lasting] = [everlasting, standing, imperishable, enduring, aeonian, -1]
[lastingness] = [indestructibility, tensile_strength, continuity, persistence, changelessness, 1]
[laurels] = [prize, seal_of_approval, honorable_mention, aliyah, cachet, 1]
[law_enforcement_agency] = [police, police_force, constabulary, law, agency, 1]
